avgx,avgy,avgz,avgTf,label
0.2096149,-0.8217737,0.058407,1.074837,walk
-0.0847681,0.2571926,0.9837167,1.02649,walk
-0.0660719,0.1894342,0.9726868,0.998032,walk
-0.006426,0.1828738,0.9899668,1.010823,walk
-0.0423606,0.173356,1.011367,1.03201,walk
0.013084,1.0280282,-0.1798517,1.091976,walk
-0.0417751,1.0043549,-0.1301367,1.041192,walk
0.0515351,1.0029017,-0.0560884,1.013694,walk
0.0195919,1.0067275,-0.0362328,1.013472,walk
0.0199974,1.0054309,-0.0278647,1.010809,walk
-0.0181746,0.9680793,-0.1092122,0.991215,walk
-0.0018217,0.9796502,-0.2135973,1.032685,walk
-0.0049863,1.0316327,-0.1545298,1.084684,walk
-0.0027899,0.961472,-0.1943957,1.031653,walk
-0.0491786,1.0071264,-0.1674468,1.074408,walk
-0.0877116,0.9692635,-0.1426116,1.030732,walk
-0.0949961,1.0263672,-0.153191,1.102014,walk
-0.1083493,0.9706086,-0.1709342,1.046745,walk
-0.0646452,0.9760845,-0.1581972,1.045225,walk
-0.0757304,1.0071011,-0.1702887,1.080966,walk
-0.0907203,0.9888852,-0.1646162,1.058573,walk
-0.0714907,0.9827851,-0.1342381,1.048345,walk
-0.0819838,1.0295167,-0.1731195,1.095318,walk
-0.0689694,0.9584339,-0.1840582,1.02504,walk
-0.0314593,0.997897,-0.1686954,1.071411,walk
-0.0884875,1.0059985,-0.1917515,1.076476,walk
-0.0461824,0.9992341,-0.1279396,1.051001,walk
-0.0667929,0.9817272,-0.2074765,1.057093,walk
0.0003298,1.0074854,-0.178556,1.071981,walk
-0.0780842,0.9772846,-0.1733531,1.048755,walk
-0.043907,1.0246837,-0.1510635,1.096045,walk
-0.0687908,0.964839,-0.1724811,1.027128,walk
-0.0241397,1.0052614,-0.2010393,1.07921,walk
-0.056636,0.9853005,-0.1190584,1.035864,walk
-0.0503878,1.0233263,-0.1718919,1.100948,walk
-0.070824,0.9888621,-0.1656707,1.067339,walk
-0.019014,0.972347,-0.1812411,1.053735,walk
-0.037969,1.0105419,-0.1684898,1.087959,walk
-0.0515097,0.9837672,-0.1791707,1.063877,walk
-0.002,0.9730917,-0.1186244,1.03765,walk
-0.0101366,1.0282354,-0.1679104,1.112489,walk
-0.0416808,0.9738134,-0.1574827,1.054671,walk
0.0111596,0.9650064,-0.1917756,1.060334,walk
-0.0098809,1.0182439,-0.1711467,1.092788,walk
-0.0518787,0.9781397,-0.1613642,1.032239,walk
-0.0173261,0.9940635,-0.1734718,1.066983,walk
-0.0216342,0.9882535,-0.1945186,1.073412,walk
0.0042407,0.9669954,-0.1839763,1.041901,walk
0.001663,1.0084072,-0.1905524,1.090271,walk
-0.0158727,0.9892592,-0.2037808,1.064783,walk
0.0229457,0.9749063,-0.1929846,1.060944,walk
0.0202379,0.9941424,-0.1650527,1.086636,walk
-0.0299202,1.015713,-0.1821627,1.094786,walk
0.0048552,0.9589794,-0.2034515,1.039713,walk
-0.0013637,0.9859953,-0.1742568,1.062226,walk
0.0228357,0.9888675,-0.1868532,1.099647,walk
0.0100561,0.9914547,-0.1501225,1.080143,walk
0.0062805,0.990343,-0.1771237,1.081956,walk
-0.0222973,1.0132289,-0.1697111,1.091466,walk
-0.0324778,0.9771273,-0.1837992,1.060145,walk
-0.0199596,0.9928997,-0.13713,1.05461,walk
-0.031322,1.0013743,-0.1804737,1.063983,walk
0.0828067,0.9966453,-0.1304945,1.042737,walk
0.0540594,1.0016241,-0.1104495,1.016679,walk
-0.0174831,1.0039354,-0.0973279,1.014003,walk
-0.0826187,0.9947383,-0.1134563,1.014496,walk
-0.0997555,0.9997739,-0.05749,1.007615,walk
-0.0407251,1.0086155,0.007426,1.009733,walk
-0.0474528,1.0072547,0.0060365,1.008531,walk
-0.0310149,1.0079256,-0.001535,1.008508,walk
-0.0273871,1.008156,-0.0001029,1.008594,walk
-0.0129794,1.0081894,-0.0053822,1.008388,walk
-0.0450059,1.0078211,0.00061,1.009233,walk
-0.0788148,1.0058649,0.0025096,1.00994,walk
-0.0751173,1.0068617,0.004008,1.011356,walk
